jewishPopulationPerc,Number
0.091,2106
0.03,1831
0.061,1575
0.03,741
0.043,738
0.023,541
0.006,403
0.018,361
0.009,273
0.023,257
0.012,242
0.033,221
0.008,216
0.039,204
0.01,201
0.018,196
0.013,193
0.015,172
0.006,159
0.004,119
0.025,115
0.005,86
0.01,84
0.004,83
0.003,64
0.018,63
0.003,61
0.011,61
0.006,55
0.007,55
0.002,50
0.003,48
0.011,45
0.001,44
0.001,40
0.002,38
0.002,37
0.001,37
0.016,36
0.003,35
0.009,33
0.001,19
0.006,18
0.001,18
0.001,15
0.005,11
,11
0.001,11
0.002,7
0.008,5
