,state
New York,2106
California,1831
New Jersey,1575
Florida,741
Massachusetts,738
Pennsylvania,541
Texas,403
Colorado,361
Michigan,273
Illinois,257
Georgia,242
Connecticut,221
Minnesota,216
Maryland,204
Washington,201
District of Columbia,198
Virginia,196
Ohio,193
Arizona,172
Wisconsin,159
North Carolina,119
Nevada,115
Nebraska,86
Oregon,84
Indiana,83
Tennessee,64
Rhode Island,63
Louisiana,61
Missouri,61
New Mexico,55
New Hampshire,55
Iowa,50
South Carolina,48
Vermont,45
Mississippi,44
Montana,40
Alabama,38
Utah,37
Arkansas,37
Delaware,36
Kentucky,35
Maine,33
Idaho,19
Kansas,18
Oklahoma,18
West Virginia,15
Hawaii,11
South Dakota,11
North Dakota,11
Wyoming,7
Alaska,5
